date,gt_index,isPartial,stock
2013-01-01,0.0,False,JBHT
2013-01-02,56.0,False,JBHT
2013-01-03,27.0,False,JBHT
2013-01-04,0.0,False,JBHT
2013-01-05,31.0,False,JBHT
2013-01-06,0.0,False,JBHT
2013-01-07,53.0,False,JBHT
2013-01-08,0.0,False,JBHT
2013-01-09,0.0,False,JBHT
2013-01-10,0.0,False,JBHT
2013-01-11,0.0,False,JBHT
2013-01-12,0.0,False,JBHT
2013-01-13,60.0,False,JBHT
2013-01-14,26.0,False,JBHT
2013-01-15,51.0,False,JBHT
2013-01-16,0.0,False,JBHT
2013-01-17,0.0,False,JBHT
2013-01-18,27.0,False,JBHT
2013-01-19,0.0,False,JBHT
2013-01-20,0.0,False,JBHT
2013-01-21,0.0,False,JBHT
2013-01-22,25.0,False,JBHT
2013-01-23,38.0,False,JBHT
2013-01-24,26.0,False,JBHT
2013-01-25,40.0,False,JBHT
2013-01-26,61.0,False,JBHT
2013-01-27,0.0,False,JBHT
2013-01-28,25.0,False,JBHT
2013-01-29,0.0,False,JBHT
2013-01-30,25.0,False,JBHT
2013-01-31,26.0,False,JBHT
2013-02-01,0.0,False,JBHT
2013-02-02,30.0,False,JBHT
2013-02-03,0.0,False,JBHT
2013-02-04,0.0,False,JBHT
2013-02-05,0.0,False,JBHT
2013-02-06,26.0,False,JBHT
2013-02-07,0.0,False,JBHT
2013-02-08,0.0,False,JBHT
2013-02-09,0.0,False,JBHT
2013-02-10,0.0,False,JBHT
2013-02-11,0.0,False,JBHT
2013-02-12,0.0,False,JBHT
2013-02-13,26.0,False,JBHT
2013-02-14,26.0,False,JBHT
2013-02-15,27.0,False,JBHT
2013-02-16,0.0,False,JBHT
2013-02-17,0.0,False,JBHT
2013-02-18,25.0,False,JBHT
2013-02-19,25.0,False,JBHT
2013-02-20,0.0,False,JBHT
2013-02-21,0.0,False,JBHT
2013-02-22,26.0,False,JBHT
2013-02-23,0.0,False,JBHT
2013-02-24,0.0,False,JBHT
2013-02-25,0.0,False,JBHT
2013-02-26,25.0,False,JBHT
2013-02-27,25.0,False,JBHT
2013-02-28,25.0,False,JBHT
2013-03-01,26.0,False,JBHT
2013-03-02,0.0,False,JBHT
2013-03-03,0.0,False,JBHT
2013-03-04,0.0,False,JBHT
2013-03-05,25.0,False,JBHT
2013-03-06,0.0,False,JBHT
2013-03-07,26.0,False,JBHT
2013-03-08,0.0,False,JBHT
2013-03-09,0.0,False,JBHT
2013-03-10,0.0,False,JBHT
2013-03-11,0.0,False,JBHT
2013-03-12,0.0,False,JBHT
2013-03-13,25.0,False,JBHT
2013-03-14,25.0,False,JBHT
2013-03-15,26.0,False,JBHT
2013-03-16,29.0,False,JBHT
2013-03-17,0.0,False,JBHT
